Monthly Report for the month of March 2024,,,,,,,,,
Sr,Scheme Name,"No. ofSchemesas onMarch,2024","No. of Foliosas on March,2024","FundsMobilizedfor themonth ofMarch 2024(INR incrore)","Repurchase/Redemptionfor themonth ofMarch 2024(INR incrore)","Net AssetsUnderManagement as onMarch, 2024(INR incrore)","Average NetAssets UnderManagement for themonthMarch 2024(INR incrore)","No. ofsegregatedportfolioscreatedas onMarch,2024","NetAssetsUnderManagement insegregatedportfolio as onMarch,2024(INR incrore)"
"",Sub Total - III (i+ii+iii+iv+v+vi),147,"1,27,75,738","39,113.38","24,104.08","6,61,425.95","6,69,433.07",5,35.14
"",,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,27,"28,38,369",293.51,174.82,"24,039.00","23,510.11",-,-
ii,Childrens Fund,11,"29,63,599",180.03,78.75,"18,388.44","18,002.28",-,-
"",Sub Total - IV (i+ii),38,"58,01,968",473.54,253.57,"42,427.44","41,512.39",-,-
"",,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,196,"62,83,447","5,867.73","5,164.54","1,99,659.23","1,97,035.78",-,-
ii,GOLD ETF,15,"49,11,226",440.98,352.67,"27,326.42","26,893.22",-,-
iii,Other ETFs,175,"1,28,23,860","11,759.09","11,558.80","6,23,022.35","6,08,925.49",-,-
iv,Fund of funds investing overseas,54,"15,17,039",404.52,823.49,"24,064.03","23,705.24",-,-
"",Sub Total - V (i+ii+iii+iv),440,"2,55,35,572","18,472.33","17,899.49","8,74,072.02","8,56,559.72",-,-
"",,,,,,,,,
"",Total A-Open ended Schemes,"1,363","16,43,01,894","10,39,994.10","10,82,754.84","50,48,334.49","50,80,794.73",12,35.14
"",,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,91,"83,178","2,060.00",-,"17,855.80","16,723.94",-,-
ii,Capital Protection Oriented Schemes,-,-,-,-,-,-,-,-
iii,Infrastructure Debt Fund,5,41,-,-,"1,600.71","1,595.44",-,-
iv,Other Debt Scheme,1,"2,17,578",20.87,63.18,"5,382.87","5,339.62",-,-
"",Sub Total (i+ii+iii+iv),97,"3,00,797","2,080.87",63.18,"24,839.38","23,659.00",-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,19,"2,83,222",-,31.52,"4,096.18","4,017.33",-,-
ii,Other Equity Schemes,1,"1,738",-,-,130.40,126.91,-,-
"",Sub Total (i+ii),20,"2,84,960",-,31.52,"4,226.58","4,144.24",-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total B -Close ended Schemes,117,"5,85,757","2,080.87",94.70,"29,065.95","27,803.24",-,-
"",,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,12,"2,621",100.31,10.69,499.91,473.80,-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total C Interval Schemes,12,"2,621",100.31,10.69,499.91,473.80,-,-
"",,,,,,,,,
"",Grand Total,"1,492","16,48,90,272","10,42,175.29","10,82,860.24","50,77,900.36","51,09,071.77",12,35.14
"",,,,,,,,,
"",Fund of Funds Scheme (Domestic) **,77,"19,43,608",889.00,"1,015.07","73,059.21","72,237.03",-,-
Monthly Report for the month of November 2023,,,,,,,,,
Sr,Scheme Name,"No. ofSchemesas onNovember 30,2023","No. of Foliosas onNovember30, 2023","FundsMobilizedfor themonth ofNovember2023 (INR incrore)","Repurchase/Redemptionfor themonth ofNovember2023 (INR incrore)","Net AssetsUnderManagement as onNovember30, 2023(INR incrore)","Average NetAssets UnderManagement for themonthNovember2023 (INR incrore)","No. ofsegregatedportfolioscreatedas onNovember 30,2023","NetAssetsUnderManagement insegregatedportfolio as onNovember 30,2023(INR incrore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,35,"8,29,534","4,87,463.14","4,87,947.50","79,291.30","1,05,689.07",-,-
ii,Liquid Fund,36,"17,84,277","2,79,922.15","2,80,566.87","4,15,620.26","4,41,013.14",-,-
iii,Ultra Short Duration Fund,24,"6,41,609","12,073.32","13,939.05","93,921.05","95,196.94",-,-
iv,Low Duration Fund,20,"9,03,392","6,710.92","7,678.71","1,05,326.83","1,04,627.76",-,-
v,Money Market Fund,23,"4,40,876","24,836.04","23,970.69","1,51,128.78","1,50,580.64",1,-
vi,Short Duration Fund,23,"4,78,711","1,474.16","1,887.91","1,00,146.75","1,00,474.57",-,-
vii,Medium Duration Fund,15,"2,42,349",133.73,414.17,"26,598.78","26,677.10",3,-
viii,Medium to Long Duration Fund,12,"1,03,436",42.27,115.53,"10,255.90","10,252.27",-,-
ix,Long Duration Fund,7,"47,151",149.32,62.74,"9,874.81","9,832.09",-,-
x,Dynamic Bond Fund,22,"2,24,067",209.40,343.48,"30,698.15","30,699.28",-,-
xi,Corporate Bond Fund,21,"5,92,971",800.11,"2,378.50","1,39,433.28","1,40,065.29",-,-
xii,Credit Risk Fund,14,"2,21,663",36.37,290.05,"23,809.92","23,898.87",3,-
xiii,Banking and PSU Fund,23,"2,70,984","1,139.59",834.59,"80,354.63","80,279.74",-,-
xiv,Gilt Fund,21,"1,79,708",693.85,601.84,"26,274.53","26,137.53",-,-
xv,Gilt Fund with 10 year constant duration,5,"39,873",29.55,37.25,"4,347.66","4,343.09",-,-
xvi,Floater Fund,13,"2,25,050","2,151.90","1,503.67","60,726.62","60,478.56",-,-
"","Sub Total - I(i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi)",314,"72,25,651","8,17,865.81","8,22,572.56","13,57,809.25","14,10,245.93",7,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,23,"51,43,687","2,781.78","1,068.70","1,03,056.62","98,905.53",-,-
ii,Large Cap Fund,30,"1,31,48,805","3,495.21","3,188.51","2,76,639.71","2,69,387.39",-,-
iii,Large & Mid Cap Fund,26,"85,16,474","3,507.99","1,660.54","1,73,892.03","1,67,493.16",-,-
iv,Mid Cap Fund,29,"1,25,22,817","4,967.39","2,301.65","2,64,277.55","2,54,274.33",-,-
v,Small Cap Fund,26,"1,59,83,476","6,545.98","2,846.74","2,20,176.05","2,10,638.00",-,-
vi,Dividend Yield Fund,9,"8,04,395",371.12,198.10,"19,998.33","19,231.68",-,-
vii,Value Fund/Contra Fund,23,"55,14,679","2,186.27",934.39,"1,25,173.36","1,20,111.71",-,-
viii,Focused Fund,27,"51,27,707","1,833.70","1,691.02","1,18,745.58","1,15,353.81",-,-
ix,Sectoral/Thematic Funds,145,"1,48,76,417","6,322.95","4,358.28","2,37,048.03","2,28,196.41",-,-
x,ELSS,42,"1,55,04,556","1,594.90","1,490.50","1,88,033.25","1,81,811.76",-,-
xi,Flexi Cap Fund,38,"1,33,67,686","5,278.45","3,610.89","3,06,366.70","2,96,758.37",-,-
"",Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),418,"11,05,10,699","38,885.73","23,349.31","20,33,407.20","19,62,162.16",-,-
"",,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,20,"5,32,921",367.82,364.95,"25,729.94","25,535.91",1,-
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,32,"53,54,089","2,069.74","1,997.97","1,79,614.54","1,76,313.61",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,29,"43,79,845","3,397.84","2,807.87","2,22,082.85","2,18,063.81",-,-
iv,Multi Asset Allocation Fund,16,"15,24,927","3,157.74",568.27,"48,634.57","48,442.09",-,-
v,Arbitrage Fund,27,"4,64,499","18,074.03","8,669.80","1,23,646.58","1,38,704.03",-,-
vi,Equity Savings Fund,22,"3,83,270","1,595.88",716.13,"24,100.34","23,937.21",2,25.81
"",Sub Total - III (i+ii+iii+iv+v+vi),146,"1,26,39,551","28,663.05","15,124.99","6,23,808.81","6,30,996.67",5,35.14
"",,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,27,"28,30,927",226.40,118.92,"22,680.43","22,102.36",-,-
ii,Childrens Fund,10,"29,54,303",134.99,57.12,"17,410.20","16,987.98",-,-
"",Sub Total - IV (i+ii),37,"57,85,230",361.39,176.04,"40,090.63","39,090.35",-,-
"",,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,193,"59,69,122","4,081.61","2,728.15","1,91,412.86","1,88,343.82",-,-
ii,GOLD ETF,14,"48,91,187",559.16,225.80,"26,995.73","26,202.46",-,-
iii,Other ETFs,175,"1,27,19,190","8,467.60","7,633.98","5,81,107.25","5,67,925.85",-,-
iv,Fund of funds investing overseas,53,"14,86,263",282.65,568.86,"23,418.15","22,939.85",-,-
"",Sub Total - V (i+ii+iii+iv),435,"2,50,65,762","13,391.03","11,156.79","8,22,934.00","8,05,411.99",-,-
"",,,,,,,,,
"",Total A-Open ended Schemes,"1,350","16,12,26,893","8,99,167.00","8,72,379.69","48,78,049.88","48,47,907.10",12,35.14
"",,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,84,"78,979",446.62,"1,675.42","15,656.98","15,840.25",-,-
ii,Capital Protection Oriented Schemes,-,-,-,-,-,-,-,-
iii,Infrastructure Debt Fund,5,41,-,-,"1,589.86","1,584.85",-,-
iv,Other Debt Scheme,1,"2,19,537",19.95,72.16,"5,273.52","5,232.60",-,-
"",Sub Total (i+ii+iii+iv),90,"2,98,557",466.57,"1,747.58","22,520.36","22,657.70",-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,19,"2,84,776",-,21.93,"3,893.79","3,797.43",-,-
ii,Other Equity Schemes,1,"1,738",-,-,120.65,116.14,-,-
"",Sub Total (i+ii),20,"2,86,514",-,21.93,"4,014.44","3,913.57",-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total B -Close ended Schemes,110,"5,85,071",466.57,"1,769.51","26,534.80","26,571.26",-,-
"",,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,12,"2,619",134.11,2.84,407.71,334.22,-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total C Interval Schemes,12,"2,619",134.11,2.84,407.71,334.22,-,-
"",,,,,,,,,
"",Grand Total,"1,472","16,18,14,583","8,99,767.69","8,74,152.04","49,04,992.39","48,74,812.59",12,35.14
"",,,,,,,,,
"",Fund of Funds Scheme (Domestic) **,"##  77","19,22,651",691.67,843.13,"71,298.96","70,221.78",-,-
Monthly Report for the month of October 2023,,,,,,,,,
Sr,Scheme Name,"No. ofSchemesas onOctober31, 2023","No. of Foliosas onOctober 31,2023","FundsMobilizedfor themonth ofOctober2023 (INR incrore)","Repurchase/Redemptionfor themonth ofOctober2023 (INR incrore)","Net AssetsUnderManagement as onOctober 31,2023 (INR incrore)","Average NetAssets UnderManagement for themonthOctober2023 (INR incrore)","No. ofsegregatedportfolioscreatedas onOctober31, 2023","NetAssetsUnderManagement insegregatedportfolio as onOctober31, 2023(INR incrore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,35,"8,10,709","4,78,285.12","4,81,729.91","79,191.61","1,04,291.70",-,-
ii,Liquid Fund,36,"17,88,040","3,28,615.37","2,95,651.57","4,13,784.73","4,39,660.80",-,-
iii,Ultra Short Duration Fund,24,"6,42,181","17,055.28","14,696.24","95,271.55","95,811.33",-,-
iv,Low Duration Fund,20,"9,12,380","11,112.10","12,253.66","1,05,731.32","1,08,904.06",-,-
v,Money Market Fund,23,"4,40,649","30,966.96","24,718.50","1,49,401.78","1,48,161.98",1,-
vi,Short Duration Fund,23,"4,83,490","3,173.06","1,892.49","99,908.99","99,497.46",-,-
vii,Medium Duration Fund,15,"2,44,807",125.61,518.75,"26,696.06","26,801.21",3,-
viii,Medium to Long Duration Fund,12,"1,04,197",250.46,163.12,"10,243.83","10,213.89",-,-
ix,Long Duration Fund,7,"47,276",232.89,47.66,"9,701.52","9,582.01",-,-
x,Dynamic Bond Fund,22,"2,25,769",588.24,474.56,"30,588.98","30,583.53",-,-
xi,Corporate Bond Fund,21,"5,98,670","4,509.41","2,569.69","1,40,177.20","1,39,150.15",-,-
xii,Credit Risk Fund,14,"2,24,249",219.24,360.84,"23,909.45","23,882.98",3,-
xiii,Banking and PSU Fund,22,"2,70,881",803.42,"1,122.62","79,582.62","79,352.15",-,-
xiv,Gilt Fund,21,"1,80,231","2,760.21",759.61,"25,959.64","25,301.94",-,-
xv,Gilt Fund with 10 year constant duration,5,"40,273",554.07,256.73,"4,310.70","4,372.64",-,-
xvi,Floater Fund,13,"2,26,798","6,456.12","5,857.91","59,751.11","60,823.16",-,-
"","Sub Total - I(i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi)",313,"72,40,600","8,85,707.55","8,43,073.85","13,54,211.09","14,06,391.00",7,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,23,"50,21,790","3,953.04","1,042.29","94,285.38","94,391.23",-,-
ii,Large Cap Fund,30,"1,31,20,371","3,948.57","3,224.76","2,60,808.23","2,66,148.53",-,-
iii,Large & Mid Cap Fund,26,"84,14,596","3,844.42","2,110.33","1,59,851.63","1,62,568.85",-,-
iv,Mid Cap Fund,29,"1,22,44,014","5,205.13","2,796.21","2,41,298.68","2,44,515.68",-,-
v,Small Cap Fund,25,"1,53,46,265","7,084.33","2,589.20","1,99,445.06","2,00,288.56",-,-
vi,Dividend Yield Fund,9,"7,96,208",573.99,176.74,"18,464.92","18,613.23",-,-
vii,Value Fund/Contra Fund,23,"54,16,399","2,284.11","1,869.05","1,14,600.82","1,16,203.24",-,-
viii,Focused Fund,27,"51,47,044","2,291.91","1,750.45","1,11,307.71","1,13,117.38",-,-
ix,Sectoral/Thematic Funds,142,"1,46,31,293","7,600.75","3,705.02","2,18,454.78","2,20,512.13",-,-
x,ELSS,42,"1,54,71,152","1,696.90","1,430.56","1,75,139.10","1,78,610.21",-,-
xi,Flexi Cap Fund,37,"1,32,64,789","5,321.40","3,152.76","2,85,761.70","2,89,670.00",-,-
"",Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),413,"10,88,73,921","43,804.55","23,847.38","18,79,418.00","19,04,639.03",-,-
"",,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,20,"5,32,260",375.63,377.36,"25,265.32","25,365.12",1,-
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,32,"53,49,511","2,321.33","2,154.42","1,71,657.96","1,74,443.27",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,29,"43,65,084","4,015.45","3,055.01","2,12,166.66","2,14,359.10",-,-
iv,Multi Asset Allocation Fund,16,"14,69,736","2,965.75",555.71,"43,829.58","45,092.18",-,-
v,Arbitrage Fund,26,"4,55,636","15,630.61","10,107.46","1,12,248.42","1,30,545.37",-,-
vi,Equity Savings Fund,22,"3,80,418","1,728.63",880.57,"22,650.71","22,774.02",2,25.81
"",Sub Total - III (i+ii+iii+iv+v+vi),145,"1,25,52,645","27,037.40","17,130.53","5,87,818.65","6,12,579.05",5,35.14
"",,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,27,"28,24,070",385.75,126.30,"21,417.46","21,597.88",-,-
ii,Childrens Fund,10,"29,49,631",136.76,53.55,"16,518.53","16,701.75",-,-
"",Sub Total - IV (i+ii),37,"57,73,701",522.51,179.86,"37,935.99","38,299.64",-,-
"",,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,191,"56,91,078","4,224.09","2,135.49","1,84,238.34","1,84,429.81",-,-
ii,GOLD ETF,13,"48,33,807","1,069.51",228.28,"26,162.72","24,789.22",-,-
iii,Other ETFs,174,"1,26,23,786","14,242.22","9,472.96","5,52,860.57","5,59,683.94",-,-
iv,Fund of funds investing overseas,53,"14,48,216",611.78,564.98,"21,419.79","21,852.09",-,-
"",Sub Total - V (i+ii+iii+iv),431,"2,45,96,887","20,147.61","12,401.71","7,84,681.43","7,90,755.07",-,-
"",,,,,,,,,
"",Total A-Open ended Schemes,"1,339","15,90,37,754","9,77,219.61","8,96,633.33","46,44,065.16","47,52,663.79",12,35.14
"",,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,84,"97,531",-,-,"16,772.92","16,738.58",-,-
ii,Capital Protection Oriented Schemes,-,-,-,-,-,-,-,-
iii,Infrastructure Debt Fund,5,41,-,-,"1,579.52","1,574.33",-,-
iv,Other Debt Scheme,1,"2,21,118",20.91,53.01,"5,182.13","5,242.84",-,-
"",Sub Total (i+ii+iii+iv),90,"3,18,690",20.91,53.01,"23,534.57","23,555.75",-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,19,"2,85,998",-,25.21,"3,699.08","3,785.29",-,-
ii,Other Equity Schemes,1,"1,738",-,-,111.14,113.52,-,-
"",Sub Total (i+ii),20,"2,87,736",-,25.21,"3,810.22","3,898.81",-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total B -Close ended Schemes,110,"6,06,426",20.91,78.22,"27,344.79","27,454.56",-,-
"",,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,12,"2,610",0.42,0.89,277.95,304.09,-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total C Interval Schemes,12,"2,610",0.42,0.89,277.95,304.09,-,-
"",,,,,,,,,
"",Grand Total,"1,461","15,96,46,790","9,77,240.94","8,96,712.44","46,71,687.90","47,80,422.43",12,35.14
"",,,,,,,,,
"",Fund of Funds Scheme (Domestic) **,76,"19,03,814",763.30,836.47,"69,099.75","69,093.58",-,-
Monthly Report for the month of September 2023,,,,,,,,,
Sr,Scheme Name,"No. ofSchemesas onSeptember 30,2023","No. of Foliosas onSeptember30, 2023","FundsMobilizedfor themonth ofSeptember2023 (INR incrore)","Repurchase/Redemptionfor themonth ofSeptember2023 (INR incrore)","Net AssetsUnderManagement as onSeptember30, 2023(INR incrore)","Average NetAssets UnderManagement for themonthSeptember2023 (INR incrore)","No. ofsegregatedportfolioscreatedas onSeptember 30,2023","NetAssetsUnderManagement insegregatedportfolio as onSeptember 30,2023(INR incrore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,34,"7,87,375","4,20,060.52","4,21,334.94","82,048.34","1,03,928.88",-,-
ii,Liquid Fund,36,"17,97,810","2,99,742.94","3,73,919.49","3,78,356.39","4,49,135.33",-,-
iii,Ultra Short Duration Fund,24,"6,44,072","16,936.93","22,104.90","92,386.35","96,954.38",-,-
iv,Low Duration Fund,20,"9,16,847","13,449.96","14,412.50","1,06,354.11","1,06,626.18",-,-
v,Money Market Fund,23,"4,39,558","26,293.30","35,451.24","1,42,307.38","1,47,645.03",1,-
vi,Short Duration Fund,23,"4,89,352","5,369.20","6,929.32","98,287.50","98,945.48",-,-
vii,Medium Duration Fund,15,"2,47,469",137.09,556.01,"27,027.15","27,184.02",3,-
viii,Medium to Long Duration Fund,12,"1,05,080",76.24,94.06,"10,164.55","10,174.59",-,-
ix,Long Duration Fund,7,"47,417",81.56,59.47,"9,570.09","9,606.07",-,-
x,Dynamic Bond Fund,22,"2,27,917",348.69,685.35,"30,470.29","30,581.83",-,-
xi,Corporate Bond Fund,21,"6,04,977","3,625.73","6,085.22","1,37,775.07","1,39,163.63",-,-
xii,Credit Risk Fund,14,"2,27,228",86.74,401.67,"23,929.93","24,032.09",3,-
xiii,Banking and PSU Fund,22,"2,74,697",864.05,"1,921.30","79,633.75","80,129.15",-,-
xiv,Gilt Fund,21,"1,80,961",587.90,310.30,"23,958.70","23,880.13",-,-
xv,Gilt Fund with 10 year constant duration,5,"40,773",54.55,58.18,"4,025.86","4,019.53",-,-
xvi,Floater Fund,13,"2,28,427","4,614.49","9,517.74","58,909.81","62,762.19",-,-
"","Sub Total - I(i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi)",312,"72,59,960","7,92,329.88","8,93,841.70","13,05,205.27","14,14,768.49",7,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,22,"48,31,118","3,516.39","1,281.87","93,756.74","92,878.74",-,-
ii,Large Cap Fund,30,"1,30,47,923","3,631.43","3,742.04","2,67,581.89","2,68,968.26",-,-
iii,Large & Mid Cap Fund,26,"82,99,513","3,760.20","2,426.01","1,63,175.58","1,63,273.17",-,-
iv,Mid Cap Fund,29,"1,19,56,147","5,234.56","3,233.68","2,45,496.15","2,44,793.75",-,-
v,Small Cap Fund,24,"1,46,84,798","6,874.35","4,195.88","1,98,483.22","1,98,073.91",-,-
vi,Dividend Yield Fund,9,"7,85,733",428.01,173.39,"18,581.44","18,466.02",-,-
vii,Value Fund/Contra Fund,23,"53,08,373","2,539.95","1,248.92","1,17,251.12","1,16,627.69",-,-
viii,Focused Fund,27,"51,59,456","2,110.93","2,061.99","1,13,547.57","1,14,010.50",-,-
ix,Sectoral/Thematic Funds,140,"1,43,15,827","7,167.14","4,020.29","2,20,141.61","2,19,524.05",-,-
x,ELSS,42,"1,54,23,310","1,587.50","1,728.65","1,79,802.65","1,80,590.33",-,-
xi,Flexi Cap Fund,37,"1,31,61,385","5,304.88","3,951.37","2,90,269.65","2,91,155.59",-,-
"",Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),409,"10,69,73,583","42,155.36","28,064.10","19,08,087.63","19,08,362.02",-,-
"",,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,20,"5,31,595",502.83,420.56,"25,401.24","25,373.14",1,-
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,31,"53,30,143","2,604.52","2,250.48","1,75,013.99","1,75,519.49",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,29,"43,41,033","4,220.56","3,726.96","2,14,075.74","2,14,199.56",-,-
iv,Multi Asset Allocation Fund,16,"14,15,518","6,775.21",451.03,"42,018.03","39,780.82",-,-
v,Arbitrage Fund,27,"4,51,213","20,691.09","10,515.53","1,09,361.28","1,20,238.45",-,-
vi,Equity Savings Fund,22,"3,75,920","2,014.50",793.70,"21,912.40","21,727.88",2,25.81
"",Sub Total - III (i+ii+iii+iv+v+vi),145,"1,24,45,422","36,808.71","18,158.26","5,87,782.68","5,96,839.35",5,35.14
"",,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,26,"27,99,015",231.77,130.82,"21,596.71","21,647.05",-,-
ii,Childrens Fund,10,"29,44,907",124.31,57.46,"16,729.63","16,768.17",-,-
"",Sub Total - IV (i+ii),36,"57,43,922",356.08,188.28,"38,326.33","38,415.22",-,-
"",,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,189,"53,88,470","3,908.53","2,226.16","1,84,028.12","1,83,557.65",-,-
ii,GOLD ETF,13,"48,06,140",305.14,129.85,"23,798.83","24,010.57",-,-
iii,Other ETFs,172,"1,24,62,054","12,251.09","9,009.17","5,60,724.12","5,61,752.52",-,-
iv,Fund of funds investing overseas,51,"14,04,536",265.39,645.26,"22,016.74","22,826.62",-,-
"",Sub Total - V (i+ii+iii+iv),425,"2,40,61,200","16,730.14","12,010.44","7,90,567.82","7,92,147.36",-,-
"",,,,,,,,,
"",Total A-Open ended Schemes,"1,327","15,64,84,087","8,88,380.17","9,52,262.78","46,29,969.73","47,50,532.45",12,35.14
"",,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,84,"97,531",-,"1,371.12","16,723.47","17,168.29",-,-
ii,Capital Protection Oriented Schemes,-,-,-,-,-,-,-,-
iii,Infrastructure Debt Fund,7,52,-,639.14,"1,568.78","1,563.43",-,-
iv,Other Debt Scheme,1,"2,22,870",20.63,53.29,"5,286.82","5,319.69",-,-
"",Sub Total (i+ii+iii+iv),92,"3,20,453",20.63,"2,063.55","23,579.07","24,051.41",-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,19,"2,87,282",-,27.71,"3,815.24","3,849.42",-,-
ii,Other Equity Schemes,1,"1,738",-,206.02,114.37,273.00,-,-
"",Sub Total (i+ii),20,"2,89,020",-,233.73,"3,929.61","4,122.42",-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total B -Close ended Schemes,112,"6,09,473",20.63,"2,297.28","27,508.68","28,173.83",-,-
"",,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,12,"2,627",0.02,32.36,276.81,308.96,-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total C Interval Schemes,12,"2,627",0.02,32.36,276.81,308.96,-,-
"",,,,,,,,,
"",Grand Total,"1,451","15,70,96,187","8,88,400.82","9,54,592.41","46,57,755.22","47,79,015.24",12,35.14
"",,,,,,,,,
"",Fund of Funds Scheme (Domestic) **,76,"18,92,068",634.77,913.71,"69,149.58","69,533.67",-,-
Monthly Report for the month of August 2023,,,,,,,,,
Sr,Scheme Name,"No. ofSchemesas onAugust31, 2023","No. of Foliosas on August31, 2023","FundsMobilizedfor themonth ofAugust 2023(INR incrore)","Repurchase/Redemptionfor themonth ofAugust 2023(INR incrore)","Net AssetsUnderManagement as onAugust 31,2023 (INR incrore)","Average NetAssets UnderManagement for themonthAugust 2023(INR incrore)","No. ofsegregatedportfolioscreatedas onAugust31, 2023","NetAssetsUnderManagement insegregatedportfolio as onAugust31, 2023(INR incrore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,34,"7,62,912","4,67,846.94","4,64,688.57","82,759.91","1,04,662.65",-,-
ii,Liquid Fund,36,"17,97,419","3,26,847.58","3,53,671.26","4,50,016.90","4,80,164.12",-,-
iii,Ultra Short Duration Fund,24,"6,45,997","14,148.26","18,271.49","97,045.68","99,836.15",-,-
iv,Low Duration Fund,21,"9,29,069","11,649.05","12,156.83","1,06,821.82","1,07,551.81",1,-
v,Money Market Fund,23,"4,34,688","32,521.15","32,429.66","1,50,533.53","1,51,951.68",-,-
vi,Short Duration Fund,24,"4,94,329","3,691.13","4,183.93","99,453.08","99,145.35",-,-
vii,Medium Duration Fund,15,"2,50,419",244.66,445.19,"27,354.46","27,379.83",3,-
viii,Medium to Long Duration Fund,12,"1,05,893",92.04,243.28,"10,166.20","10,249.47",-,-
ix,Long Duration Fund,7,"47,453",228.13,47.73,"9,570.95","9,440.69",-,-
x,Dynamic Bond Fund,22,"2,30,149",786.69,651.70,"30,722.06","30,479.19",-,-
xi,Corporate Bond Fund,21,"6,06,872","4,126.08","2,370.64","1,39,506.41","1,37,496.09",-,-
